,bitcoin_price,ethereum_price,dogecoin_price,date,bitcoin_volume,ethereum_volume,dogecoin_volume
406,45664.51700549305,2758.514042211854,0.340336132068689,2021-06-29,42885493661.87998,40474576543.83274,3276006694.9195256
407,47868.14824622728,2887.0744901172047,0.3506553459551583,2021-06-30,46739967042.16132,36130542166.97835,3676764758.452524
408,46907.82439842919,3039.9495721896087,0.3382540850293273,2021-07-01,41376572719.88958,38738626646.92896,3429376328.721642
409,45102.91632442303,2841.472776581241,0.32913661703549063,2021-07-02,39012061201.163155,34652603688.369316,4377460052.9331875
410,45088.68159247369,2865.7948895377417,0.3261054618046323,2021-07-03,33313118599.790237,30371701493.972687,2509937078.7971783
411,46119.940487457134,2959.4041125355157,0.3282602052761761,2021-07-04,30524582730.95663,26498531601.58138,1630179412.5540195
412,47073.06459106996,3097.494803662148,0.3282297646838838,2021-07-05,30227351978.041275,28087809479.95299,1320143027.5567272
413,44967.12768019774,2938.732053178857,0.3086648324662951,2021-07-06,34320062459.334503,29943626709.576385,1769278283.3530877
414,45550.96391443654,3095.4055768221688,0.3120716835948316,2021-07-07,34822630691.8139,33011317082.046696,1783389422.2410128
415,45342.68783779631,3095.8355071612623,0.3006208544475101,2021-07-08,31659227139.84784,31199662530.516956,1534705176.0641909
416,44318.02457764557,2861.508973075212,0.27732364136861115,2021-07-09,39112936662.15826,32476033097.045235,2898375401.476692
417,45336.39541193944,2878.0651161010687,0.29223185535540014,2021-07-10,32405687379.82291,29710064985.261253,4350250883.860518
418,45027.679288496875,2836.3065024971156,0.28291185516651796,2021-07-11,27464928549.77094,24168875013.664722,2333808991.832108
419,45797.00284014994,2862.670684195857,0.2857441551627566,2021-07-12,23764853882.24157,19026364982.37768,1219358985.809933
420,44473.23327415991,2730.8867724773754,0.27778687021176723,2021-07-13,28992048557.987556,21932541569.682972,1676200120.61698
421,43919.86999749729,2613.4341203318345,0.2657995618006265,2021-07-14,26791036802.02159,24477045599.90379,1793381265.1800277
422,43953.592351182066,2670.5742032172216,0.2635453144316432,2021-07-15,29115326702.409172,26746922202.9432,1911214995.3443944
423,42737.0682278396,2573.875311825762,0.24619224510722276,2021-07-16,29039684079.28104,24217820290.52713,1564364630.418721
424,42440.65035901434,2533.2215350755882,0.2363099504833885,2021-07-17,30643920737.615,23583751312.13213,1906742187.1243246
425,42696.069503489285,2567.8768569011854,0.2482602058696459,2021-07-18,23944670924.413216,20166737030.754887,3661271740.897737
426,43198.52671721022,2579.135514574781,0.24941068658894647,2021-07-19,24011509542.490883,20780963930.36582,2062541738.710688
427,42133.99793481591,2486.130509717074,0.2355276536251592,2021-07-20,27376476799.040504,21481754100.976044,1577210439.112925
428,40872.685189711745,2447.805259927288,0.23587439870957608,2021-07-21,31365507830.70797,28138620103.756836,2452636606.493748
429,44040.841284119175,2724.9964065615386,0.26056860595150166,2021-07-22,39535098399.42322,35154437609.686,4982692991.047308
430,43885.57399673314,2745.474931690216,0.2595084214637405,2021-07-23,26732005424.95216,29323921766.04484,2153479389.4337587
431,45413.36823082418,2873.8764763308445,0.2628146100844029,2021-07-24,31135749748.905544,28180898463.981583,1876972238.2768285
432,46463.47146549303,2965.455557693345,0.2692268189781526,2021-07-25,30040306480.345215,26255570864.86489,2104964967.2704408
433,48141.40420514798,3000.000784164503,0.2746482814490341,2021-07-26,28416965040.68106,22481787565.33088,2242422021.4673924
434,50470.28477152978,3019.2878597611607,0.2789261754258862,2021-07-27,72493817890.44154,47650849681.93799,6727036718.914105
435,53040.57547797388,3111.830677436011,0.2776370328609992,2021-07-28,49409251124.98382,39175851274.28509,2638739269.164291
436,54256.04435342308,3116.8702381993153,0.28248816923026643,2021-07-29,56069371530.73496,31405479366.247406,2994332213.9121766
437,54048.04842725956,3220.389360697297,0.28203387659237594,2021-07-30,38824594162.33599,24681078688.764755,2340097120.4348884
438,57087.28757952398,3352.0330851789563,0.2807378406787163,2021-07-31,48367210180.02249,32725627325.994965,2162294378.7550282
439,56839.40419433964,3459.948590347021,0.2900724500184425,2021-08-01,38712199999.242004,29375919063.855705,2762038944.773405
440,54364.71659799615,3480.511936481971,0.2816686529858198,2021-08-02,38892660520.312,34988883248.99823,2564444800.926417
